serial_number,average_time_between_service,avg_serv_costs,days_to_first_serv,installation_year,accessories,breakdown,inspection_maintenance,instruction,retrofit,transport_damages,welding,energy_type_electric,machine_size_102,machine_size_62,machine_size_61,machine_size_201,machine_size_202,machine_type_combi
1,57,3637.713913,434,2013,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2,54,679.3751157,141,2015,0,27,0,0,0,0,0,1,1,0,0,0,0,0
3,41,262.8345272,110,2015,0,27,0,0,0,0,0,1,0,1,0,0,0,0
4,50,471.0868402,5,2015,0,24,0,0,0,0,0,1,1,0,0,0,0,0
5,51,384.1435936,49,2015,0,24,0,0,0,0,0,1,1,0,0,0,0,0
6,43,259.8247826,31,2014,0,21,0,0,0,0,0,1,0,0,0,0,0,0
7,70,544.9311317,19,2014,0,21,0,0,0,0,0,1,1,0,0,0,0,0
8,42,387.6915419,36,2016,0,21,0,0,0,0,0,1,1,0,0,0,0,0
9,64,335.9176823,120,2015,0,21,0,0,0,0,0,1,0,1,0,0,0,0
10,63,364.1296158,10,2015,0,21,0,0,0,0,0,1,0,1,0,0,0,0
11,54,382.9106172,17,2015,0,20,0,0,0,0,0,1,1,0,0,0,0,0
12,62,525.0901178,41,2015,0,20,0,0,0,0,0,1,0,1,0,0,0,0
13,62,402.2836695,62,2015,0,20,0,0,0,0,0,1,0,1,0,0,0,0
14,66,299.6870555,91,2015,0,20,0,0,0,0,0,1,0,1,0,0,0,0
15,75,284.7518481,28,2015,0,19,0,0,0,0,0,1,0,1,0,0,0,0
16,50,404.6310073,105,2015,0,19,0,0,0,0,0,1,0,1,0,0,0,0
17,55,361.2717777,86,2016,0,19,0,0,0,0,0,1,0,1,0,0,0,0
18,62,477.3259233,79,2016,0,18,0,0,0,0,0,1,1,0,0,0,0,0
19,89,247.3224226,21,2014,0,18,0,0,0,0,0,1,1,0,0,0,0,0
20,79,554.4382334,28,2015,0,18,0,0,0,0,0,1,1,0,0,0,0,0
21,60,349.7800266,6,2015,0,18,0,0,0,0,0,1,1,0,0,0,0,0
22,54,448.7202228,4,2015,0,18,0,0,0,0,0,1,1,0,0,0,0,0
23,54,295.9088648,124,2015,0,18,0,0,0,0,0,1,1,0,0,0,0,0
24,51,499.668788,96,2016,0,18,0,0,0,0,0,1,1,0,0,0,0,0
25,77,274.204141,5,2014,0,18,0,0,0,0,0,1,0,1,0,0,0,0
26,76,575.2169786,13,2015,0,17,0,0,0,0,0,1,1,0,0,0,0,0
27,69,336.4050229,110,2015,0,17,0,0,0,0,0,1,1,0,0,0,0,0
28,83,418.3155856,28,2014,0,17,0,0,0,0,0,1,0,1,0,0,0,0
29,71,496.0256055,42,2015,0,17,0,0,0,0,0,1,0,1,0,0,0,0
30,66,219.7411931,1,2015,0,17,0,0,0,0,0,1,0,1,0,0,0,0
31,46,325.7417857,167,2016,0,17,0,0,0,0,0,1,0,1,0,0,0,0
32,79,305.2708062,70,2015,0,16,0,0,0,0,0,1,1,0,0,0,0,0
33,63,515.3714995,56,2015,0,16,0,0,0,0,0,1,1,0,0,0,0,0
34,53,287.2118256,6,2016,0,16,0,0,0,0,0,1,1,0,0,0,0,0
35,49,542.70916,31,2016,0,16,0,0,0,0,0,1,1,0,0,0,0,0
36,75,434.6757114,75,2015,0,16,0,0,0,0,0,1,0,1,0,0,0,0
37,80,433.6040206,202,2015,0,16,0,0,0,0,0,1,0,1,0,0,0,0
38,62,351.841267,33,2015,0,16,0,0,0,0,0,1,0,1,0,0,0,0
39,64,464.3016351,9,2016,0,16,0,0,0,0,0,1,0,1,0,0,0,0
40,96,609.4135818,81,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
41,87,401.9140525,12,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
42,83,1236.755604,7,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
43,89,364.4749065,18,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
44,78,517.6402973,40,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
45,89,312.3032987,7,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
46,75,271.1757342,60,2015,0,15,0,0,0,0,0,1,1,0,0,0,0,0
47,87,264.6834552,60,2015,0,15,0,0,0,0,0,1,0,1,0,0,0,0
48,92,489.6959833,96,2015,0,15,0,0,0,0,0,1,0,1,0,0,0,0
49,68,432.1506195,16,2015,0,15,0,0,0,0,0,1,0,1,0,0,0,0
50,57,391.2217434,28,2016,0,15,0,0,0,0,0,1,0,1,0,0,0,0
51,64,424.7805198,13,2016,0,15,0,0,0,0,0,1,0,1,0,0,0,0
52,57,428.6989287,34,2016,0,15,0,0,0,0,0,1,0,1,0,0,0,0
53,55,232.1707036,15,2016,0,15,0,0,0,0,0,1,0,1,0,0,0,0
54,214,378.84875,90,2014,0,14,0,0,0,0,0,1,0,0,0,0,0,0
55,88,600.2238444,57,2015,0,14,0,0,0,0,0,1,1,0,0,0,0,0
56,99,705.1361398,89,2015,0,14,0,0,0,0,0,1,1,0,0,0,0,0
57,88,542.2659635,72,2015,0,14,0,0,0,0,0,1,1,0,0,0,0,0
58,91,472.7746862,53,2015,0,14,0,0,0,0,0,1,1,0,0,0,0,0
59,61,136.160945,26,2015,0,14,0,0,0,0,0,1,1,0,0,0,0,0
60,34,465.8850817,9,2017,0,14,0,0,0,0,0,1,1,0,0,0,0,0
61,68,518.8229805,196,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
62,81,422.0943465,239,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
63,78,359.2576991,65,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
64,78,513.348578,57,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
65,71,245.2419217,10,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
66,79,341.6084402,55,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
67,57,287.9889639,3,2016,0,14,0,0,0,0,0,1,0,1,0,0,0,0
68,61,274.8897221,54,2015,0,14,0,0,0,0,0,1,0,1,0,0,0,0
69,81,325.5951075,206,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
70,112,497.797848,13,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
71,71,278.2785114,20,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
72,88,363.8709117,284,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
73,103,217.5880032,96,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
74,96,346.0268484,288,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
75,93,577.1409088,23,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
76,81,396.4454711,40,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
77,79,720.1178253,38,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
78,78,345.870042,46,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
79,71,345.533485,21,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
80,67,414.1923348,104,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
81,63,299.9162575,76,2015,0,13,0,0,0,0,0,1,1,0,0,0,0,0
82,54,442.7637192,13,2016,0,13,0,0,0,0,0,1,1,0,0,0,0,0
83,59,279.9589619,10,2016,0,13,0,0,0,0,0,1,1,0,0,0,0,0
84,59,250.4203004,98,2016,0,13,0,0,0,0,0,1,1,0,0,0,0,0
85,58,327.080959,55,2016,0,13,0,0,0,0,0,1,1,0,0,0,0,0
86,40,207.9567693,56,2016,0,13,0,0,0,0,0,1,1,0,0,0,0,0
87,48,539.9560348,25,2016,0,13,0,0,0,0,0,1,1,0,0,0,0,0
88,169,227.4,0,2018,0,13,0,0,0,0,0,1,0,0,1,0,0,0
89,118,508.8959084,74,2014,0,13,0,0,0,0,0,1,0,1,0,0,0,0
90,84,383.0226869,39,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
91,65,453.6708797,85,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
92,82,401.6141808,14,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
93,99,403.2743949,202,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
94,98,346.1931964,6,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
95,96,326.8113908,128,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
96,85,670.4345588,19,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
97,80,376.5096527,107,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
98,76,369.1524663,124,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
99,66,462.8249557,17,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
100,70,391.4003288,18,2016,0,13,0,0,0,0,0,1,0,1,0,0,0,0
101,79,483.8544417,29,2015,0,13,0,0,0,0,0,1,0,1,0,0,0,0
102,64,366.351777,15,2016,0,13,0,0,0,0,0,1,0,1,0,0,0,0
103,69,391.0707718,134,2016,0,13,0,0,0,0,0,1,0,1,0,0,0,0
104,64,229.0083316,56,2016,0,13,0,0,0,0,0,1,0,1,0,0,0,0
105,43,310.4683952,20,2017,0,13,0,0,0,0,0,1,0,1,0,0,0,0
106,120,266.7621429,60,2014,0,12,0,0,0,0,0,1,0,0,0,0,0,0
107,119,307.5169231,0,2014,0,12,0,0,0,0,0,1,0,0,0,0,0,0
108,143,281.3036364,0,2014,0,12,0,0,0,0,0,1,0,0,0,0,0,0
109,116,227.9628571,28,2014,0,12,0,0,0,0,0,1,0,0,0,0,0,0
110,64,401.1742481,35,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
111,84,364.7832641,31,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
112,96,469.8777166,20,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
113,81,314.5627761,127,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
114,103,392.1161598,391,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
115,88,357.7747254,26,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
116,82,631.3591757,28,2015,0,12,0,0,0,0,0,1,1,0,0,0,0,0
117,60,621.6308099,92,2017,0,12,0,0,0,0,0,1,1,0,0,0,0,0
118,61,582.4646594,22,2016,0,12,0,0,0,0,0,1,1,0,0,0,0,0
119,67,496.8493037,18,2016,0,12,0,0,0,0,0,1,1,0,0,0,0,0
120,110,533.0093388,30,2014,0,12,0,0,0,0,0,1,0,1,0,0,0,0
121,115,598.4461335,208,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
122,119,478.9962663,133,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
123,106,280.027223,129,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
124,103,786.2206065,81,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
125,103,708.3079578,91,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
126,103,346.1402594,197,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
127,94,323.7436003,4,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
128,79,917.3701088,21,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
129,82,458.6413286,39,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
130,90,349.8985205,144,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
131,82,269.8000062,29,2015,0,12,0,0,0,0,0,1,0,1,0,0,0,0
132,75,502.0974039,164,2016,0,12,0,0,0,0,0,1,0,1,0,0,0,0
133,89,380.0970573,26,2016,0,12,0,0,0,0,0,1,0,1,0,0,0,0
134,87,486.4722255,73,2016,0,12,0,0,0,0,0,1,0,1,0,0,0,0
135,99,322.265,0,2014,0,11,0,0,0,0,0,1,0,0,0,0,0,0
136,78,531.1134052,94,2017,0,11,0,0,0,0,0,1,1,0,0,0,0,0
137,121,443.3534349,15,2014,0,11,0,0,0,0,0,1,1,0,0,0,0,0
138,147,380.5794134,170,2015,0,11,0,0,0,0,0,1,1,0,0,0,0,0
139,112,360.0058217,37,2015,0,11,0,0,0,0,0,1,1,0,0,0,0,0
140,97,583.501849,56,2015,0,11,0,0,0,0,0,1,1,0,0,0,0,0
141,93,364.1905373,68,2015,0,11,0,0,0,0,0,1,1,0,0,0,0,0
142,85,357.6664043,68,2015,0,11,0,0,0,0,0,1,1,0,0,0,0,0
143,69,275.6782657,8,2016,0,11,0,0,0,0,0,1,1,0,0,0,0,0
144,72,247.0554593,38,2015,0,11,0,0,0,0,0,1,1,0,0,0,0,0
145,83,741.8392846,33,2016,0,11,0,0,0,0,0,1,1,0,0,0,0,0
146,66,298.4353198,68,2016,0,11,0,0,0,0,0,1,1,0,0,0,0,0
147,86,294.9689647,71,2016,0,11,0,0,0,0,0,1,1,0,0,0,0,0
148,74,518.2724556,30,2016,0,11,0,0,0,0,0,1,1,0,0,0,0,0
149,45,355.7201942,71,2017,0,11,0,0,0,0,0,1,1,0,0,0,0,0
150,87,373.2348579,30,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
151,126,271.037208,643,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
152,93,473.8123668,28,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
153,95,528.8000598,193,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
154,78,303.6070958,71,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
155,108,438.983576,154,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
156,73,275.8411112,77,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
157,75,338.9191711,156,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
158,73,349.0799848,65,2016,0,11,0,0,0,0,0,1,0,1,0,0,0,0
159,86,388.1274396,108,2015,0,11,0,0,0,0,0,1,0,1,0,0,0,0
160,82,384.53687,31,2016,0,11,0,0,0,0,0,1,0,1,0,0,0,0
161,72,413.1867117,2,2016,0,11,0,0,0,0,0,1,0,1,0,0,0,0
162,72,238.2394818,160,2016,0,11,0,0,0,0,0,1,0,1,0,0,0,0
163,79,417.6103881,49,2016,0,11,0,0,0,0,0,1,0,1,0,0,0,0
164,162,238.799,26,2014,0,10,0,0,0,0,0,1,0,0,0,0,0,0
165,204,418.66875,357,2014,0,10,0,0,0,0,0,1,0,0,0,0,0,0
166,149,410.314,97,2014,0,10,0,0,0,0,0,1,0,0,0,0,0,0
167,153,222.6266463,171,2017,0,10,0,0,0,0,0,1,1,0,0,0,0,0
168,172,676.7621235,28,2014,0,10,0,0,0,0,0,1,1,0,0,0,0,0
169,117,494.3470566,27,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
170,122,541.4389732,32,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
171,136,393.4478132,163,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
172,122,302.6960155,56,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
173,154,264.7564709,143,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
174,97,571.1027084,21,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
175,106,474.190847,147,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
176,123,448.2456839,141,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
177,89,338.5409803,174,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
178,110,420.618243,46,2015,0,10,0,0,0,0,0,1,1,0,0,0,0,0
179,82,494.8812707,189,2016,0,10,0,0,0,0,0,1,1,0,0,0,0,0
180,113,497.013668,105,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
181,105,470.6458076,196,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
182,121,432.0947189,190,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
183,139,699.111066,96,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
184,128,312.801294,90,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
185,95,491.5774055,16,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
186,115,430.1607882,166,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
187,100,272.9429092,56,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
188,93,362.6094763,72,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
189,93,387.5209525,243,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
190,70,260.4125332,118,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
191,80,315.1002377,63,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
192,93,591.5105016,61,2015,0,10,0,0,0,0,0,1,0,1,0,0,0,0
193,64,299.8482161,20,2016,0,10,0,0,0,0,0,1,0,1,0,0,0,0
194,81,406.8385351,9,2016,0,10,0,0,0,0,0,1,0,1,0,0,0,0
195,84,379.8118783,4,2017,0,10,0,0,0,0,0,1,0,1,0,0,0,0
196,42,585.9328186,52,2017,0,10,0,0,0,0,0,1,0,1,0,0,0,0
197,159,452.711,0,2014,0,9,0,0,0,0,0,1,0,0,0,0,0,0
198,198,459.615,22,2014,0,9,0,0,0,0,0,1,0,0,0,0,0,0
199,119,440.4814067,73,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
200,115,474.1723164,97,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
201,158,476.2275178,27,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
202,155,331.1631495,269,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
203,144,759.3402689,13,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
204,110,627.4957068,28,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
205,116,446.2698807,12,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
206,120,306.3154552,292,2015,0,9,0,0,0,0,0,1,1,0,0,0,0,0
207,80,403.3001835,29,2016,0,9,0,0,0,0,0,1,1,0,0,0,0,0
208,100,444.1369433,109,2016,0,9,0,0,0,0,0,1,1,0,0,0,0,0
209,89,581.192308,212,2016,0,9,0,0,0,0,0,1,1,0,0,0,0,0
210,51,517.3214555,27,2017,0,9,0,0,0,0,0,1,1,0,0,0,0,0
211,90,415.2337856,20,2016,0,9,0,0,0,0,0,1,1,0,0,0,0,0
212,77,387.5044157,22,2016,0,9,0,0,0,0,0,1,1,0,0,0,0,0
213,65,373.4921685,8,2016,0,9,0,0,0,0,0,1,1,0,0,0,0,0
214,58,352.1677244,108,2017,0,9,0,0,0,0,0,1,1,0,0,0,0,0
215,57,25.12666667,132,2017,0,9,0,0,0,0,0,1,0,0,1,0,0,0
216,137,469.8074637,7,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
217,128,327.6733192,79,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
218,127,446.4346798,218,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
219,137,213.7425231,88,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
220,141,905.5000979,57,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
221,123,305.9997591,21,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
222,118,434.8211939,129,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
223,116,559.7773032,128,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
224,118,312.9456108,72,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
225,102,512.9812418,29,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
226,100,362.4209701,64,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
227,88,300.0700882,27,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
228,133,224.6415209,257,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
229,103,322.3823802,195,2015,0,9,0,0,0,0,0,1,0,1,0,0,0,0
230,91,708.3722223,27,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
231,113,312.1962806,19,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
232,83,299.4446927,34,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
233,108,697.3693727,14,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
234,79,304.6032573,21,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
235,70,313.98144,20,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
236,86,358.6021228,48,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
237,72,314.90785,41,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
238,64,416.1046979,108,2016,0,9,0,0,0,0,0,1,0,1,0,0,0,0
239,153,290.7525,0,2018,0,8,0,0,0,0,0,1,0,0,0,0,0,0
240,188,342.3655556,115,2014,0,8,0,0,0,0,0,1,0,0,0,0,0,0
241,118,568.5994758,362,2014,0,8,0,0,0,0,0,1,0,0,0,0,0,0
242,144,280.1488889,76,2014,0,8,0,0,0,0,0,1,0,0,0,0,0,0
243,106,330.116,16,2017,0,8,0,0,0,0,0,1,0,0,0,0,0,0
244,202,435.3580363,38,2014,0,8,0,0,0,0,0,1,1,0,0,0,0,0
245,163,560.5223856,9,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
246,56,192.2307659,199,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
247,174,675.901258,293,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
248,115,343.7645062,6,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
249,122,517.2022949,62,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
250,109,569.1048965,112,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
251,136,335.295535,69,2015,0,8,0,0,0,0,0,1,1,0,0,0,0,0
252,83,408.1921927,63,2016,0,8,0,0,0,0,0,1,1,0,0,0,0,0
253,84,276.4572637,53,2016,0,8,0,0,0,0,0,1,1,0,0,0,0,0
254,101,314.9409712,21,2016,0,8,0,0,0,0,0,1,1,0,0,0,0,0
255,119,781.4328944,24,2016,0,8,0,0,0,0,0,1,1,0,0,0,0,0
256,47,563.6498956,87,2017,0,8,0,0,0,0,0,1,1,0,0,0,0,0
257,254,340.94,112,2014,0,8,0,0,0,0,0,1,0,0,1,0,0,0
258,80,448.3472727,384,2017,0,8,0,0,0,0,0,1,0,0,1,0,0,0
259,135,302.4223048,225,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
260,155,200.4403056,20,2014,0,8,0,0,0,0,0,1,0,1,0,0,0,0
261,177,382.2807227,56,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
262,137,445.232844,81,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
263,176,572.8579149,152,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
264,114,264.2954855,113,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
265,156,538.7253593,72,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
266,123,151.7523354,29,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
267,151,331.2887302,30,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
268,85,205.8034921,16,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
269,134,234.6627387,7,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
270,97,309.0589242,159,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
271,143,334.1076458,105,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
272,113,457.4713482,50,2015,0,8,0,0,0,0,0,1,0,1,0,0,0,0
273,97,377.6393635,12,2016,0,8,0,0,0,0,0,1,0,1,0,0,0,0
274,100,686.7021191,160,2016,0,8,0,0,0,0,0,1,0,1,0,0,0,0
275,139,393.7978189,185,2016,0,8,0,0,0,0,0,1,0,1,0,0,0,0
276,81,312.1075125,12,2016,0,8,0,0,0,0,0,1,0,1,0,0,0,0
277,74,296.117353,64,2016,0,8,0,0,0,0,0,1,0,1,0,0,0,0
278,89,359.951007,250,2016,0,8,0,0,0,0,0,1,0,1,0,0,0,0
279,68,464.6773967,2,2017,0,8,0,0,0,0,0,1,0,1,0,0,0,0
280,232,119.3546116,455,2016,0,8,0,0,0,0,0,0,0,0,0,1,0,1
281,286,379.79,156,2014,0,7,0,0,0,0,0,1,0,0,0,0,0,0
282,138,406.8933333,0,2014,0,7,0,0,0,0,0,1,0,0,0,0,0,0
283,221,453.8814286,7,2014,0,7,0,0,0,0,0,1,0,0,0,0,0,0
284,14,345.9468087,0,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
285,171,555.526287,37,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
286,155,420.7446,90,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
287,196,398.5347087,430,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
288,122,335.231577,58,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
289,158,543.8090691,185,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
290,125,282.2215879,13,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
291,154,308.8727295,17,2015,0,7,0,0,0,0,0,1,1,0,0,0,0,0
292,114,364.5835801,116,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
293,115,420.1070644,92,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
294,126,332.550185,47,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
295,128,473.7643624,19,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
296,115,309.5760001,31,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
297,118,314.7124046,105,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
298,79,346.2907331,36,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
299,91,444.3664043,217,2016,0,7,0,0,0,0,0,1,1,0,0,0,0,0
300,45,571.5416667,104,2014,0,7,0,0,0,0,0,1,0,0,1,0,0,0
301,266,146.3500757,134,2014,0,7,0,0,0,0,0,1,0,0,1,0,0,0
302,136,136.465,146,2017,0,7,0,0,0,0,0,1,0,0,1,0,0,0
303,169,732.3571079,134,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
304,199,781.827827,133,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
305,163,733.9037952,181,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
306,138,436.6294394,352,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
307,109,234.500443,66,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
308,139,434.1031902,368,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
309,111,528.6522213,176,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
310,103,408.5813272,5,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
311,113,294.6423619,28,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
312,131,571.8751809,120,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
313,113,443.1876462,101,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
314,113,411.8612622,169,2015,0,7,0,0,0,0,0,1,0,1,0,0,0,0
315,117,309.1671626,59,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
316,98,300.6511572,265,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
317,113,446.7504308,10,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
318,132,354.8469875,97,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
319,98,335.4851295,66,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
320,131,352.8900166,48,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
321,80,344.4862115,44,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
322,120,369.6147819,8,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
323,90,296.4626158,9,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
324,81,283.3855207,6,2016,0,7,0,0,0,0,0,1,0,1,0,0,0,0
